what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305484183029
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484183694
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484184067
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484202914
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484203063
error,log,,,"Unhandled event loop exception",1305484203122
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305484204267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484214047
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484218437
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1305484221224
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305484226843
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484252174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484262488
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484265962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484313520
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305484316036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484329232
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484349388
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1305484358695
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.hippieCompletion",1305484372076
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484383715
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484383890
started,bundle,org.eclipse.help.base,3.5.3.v201102101200,"org.eclipse.help.base",1305484384250
started,bundle,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui",1305484384266
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1305484384292
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1305484384385
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1305484384421
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484551541
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484552206
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305484558117
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484578685
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1305484586825
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484684480
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484686009
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484687413
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484688241
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484688996
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484694126
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484762349
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305484764149
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1305484784105
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1305484791464
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305484791984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484796524
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484978119
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305484984659
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305485031642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305485034782
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305485149410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305485169860
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305485178297
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305485209382
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305485214033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305485214788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305485214842
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305485216725
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305485217119
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305485219244
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305485221138
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305485221186
