what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305747592679
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305747656251
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305747731841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305747745302
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305747746294
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305747822392
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305747829413
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1305747836726
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1305747837576
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1305747844233
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1305747845121
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305747858195
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305747880767
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305747893686
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305747897229
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305747908699
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305747908851
error,log,,,"Unhandled event loop exception",1305747909160
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305747944332
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305747944566
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305747964311
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305747970945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305747983739
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305747992855
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305747993809
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305748002569
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305748014220
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305748028765
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305748057398
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305748070933
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1305748084332
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1305748085668
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305748091553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305748098053
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305748098220
error,log,,,"Unhandled event loop exception",1305748098321
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305748099931
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1305748144469
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305748162100
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305748198935
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305748215985
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305748238616
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1305748385288
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305748398939
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1305748400828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305748406260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305748406500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305748410613
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1305748415070
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1305748432121
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1305748488036
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1305748511620
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1305748513106
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1305748521319
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1305748528961
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305748535864
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305748544170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305748547474
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305748547723
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305748549528
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1305748625825
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305782879203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305782882091
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305822502248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305822528038
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305822634485
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305822636297
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1305822678052
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305822680143
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305822680349
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305822711473
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305822712717
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305822733515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305822738272
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305822756687
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305822756938
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305822757011
